outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,initial_x,initial_y,initial_z,initial_position,Distance (m),Speed (m/s),Longitudinal acceleration (m/s2),Lateral acceleration (m/s2),Optimized line,Timestamp
604829.6094,5805362.477,5.094589584,604838.3065,5805359.081,5.110173524,604832.319,5805361.419,5.0994447,0.311546139,0.0,54.95839713475694,0.9288261627991364,0.0021969759116740955,-0.0943493759825679,0.0
604837.2078,5805381.977,5.109051064,604845.929,5805378.57,5.13088443,604839.9327,5805380.912,5.115872922,0.312451047,20.92796314661536,55.31209085069647,0.9188150062677669,0.001187907152041211,-0.087848547920611,0.3795750527444138
604844.901,5805401.715,5.136541666,604853.6458,5805398.3,5.156721158,604847.6405,5805400.645,5.142863434,0.31327683,42.11237850784946,55.65779637589032,0.8964513185034296,-0.0003922544347327342,-0.0840420797849388,0.7613798088036525
604852.6852,5805421.691,5.132406423,604861.4543,5805418.266,5.146402626,604855.4409,5805420.615,5.136804766,0.314252423,63.55141426830924,55.99849591490716,0.880929875203509,-0.0001866282022782246,-0.0798050739137751,1.145398216017533
604860.5631,5805441.905,5.11713171,604869.3558,5805438.47,5.128379888,604863.334,5805440.822,5.120676466,0.315140749,85.24620877010908,56.33626571355911,0.861713040765971,0.0004062241838293855,-0.0740471120186783,1.5316507737708094
604868.5308,5805462.351,5.129032951,604877.3489,5805458.905,5.13157975,604871.3187,5805461.261,5.129838145,0.316159706,107.18974502502847,56.665846072205035,0.8358594628825908,0.0005884434132060999,-0.0684565124001341,1.9200246883489935
604876.5883,5805483.025,5.131510969,604885.4312,5805479.571,5.141330654,604879.3926,5805481.93,5.134625063,0.317127589,129.37858199581268,56.9871153853333,0.814363859193514,0.005451405554137582,-0.0629369879260381,2.31049118717532
604884.7338,5805503.927,5.125573836,604893.614,5805500.474,5.12518935,604887.5411,5805502.836,5.125452293,0.316131851,151.81310410784423,57.30343478926703,0.7945601766249076,-0.03313646004803005,-0.0550275032469596,2.7030787121764437
604892.9698,5805525.061,5.141603812,604901.9664,5805521.579,5.102291271,604895.7469,5805523.987,5.12946855,0.308687803,174.4967347714932,57.61259926193567,0.7731148088829941,-0.09565691352693648,-0.0418749359240972,3.0978648854191073
604901.2195,5805546.455,5.134174013,604910.4113,5805542.917,5.105254641,604904.0053,5805545.383,5.125409369,0.303072195,197.42801678600736,57.91544559361698,0.7571808973989945,-0.07328181339685994,-0.0199079005748037,3.494846969608027
604909.5312,5805568.096,5.104429212,604918.949,5805564.489,5.111831101,604912.3177,5805567.029,5.106619213,0.295873566,220.61196643112763,58.21543783937087,0.7416159760740976,-0.006218323771247254,0.004068861557841,3.894119737708484
604917.9321,5805589.972,5.09853478,604927.5797,5805586.298,5.10909472,604920.6795,5805588.926,5.101542051,0.284780262,244.0475818035031,58.50923839080494,-2.87162355163097,0.02000872351057528,0.0341307444794767,4.29567348159999
604926.2856,5805611.723,5.097364224,604936.3286,5805607.918,5.125578625,604928.9552,5805610.712,5.104863961,0.265814565,267.3495005487109,55.93799634291762,-8.154181353575805,0.19500426405626747,0.0672192126169375,4.7028815508805275
604933.5516,5805630.927,5.160700963,604944.1059,5805626.902,5.131399288,604936.2494,5805629.898,5.153211044,0.255613953,287.87996839945583,52.30440470621639,-10.127693646424273,0.5458336672846096,0.107413489359499,5.082223983268472
604939.7714,5805647.39,5.37058662,604950.7401,5805643.171,5.129205776,604942.5411,5805646.324,5.309636249,0.252506776,305.47903621289333,48.64559717905245,-10.94802029641938,0.7278914687689516,0.1406507322940017,5.430892977518499
604945.0857,5805661.458,5.646133178,604956.1357,5805657.162,5.11662109,604947.9593,5805660.341,5.508433842,0.26004923,320.5161395910835,45.04093562623874,-11.485141551413427,0.792318607543599,0.1806000656326032,5.7519018339235455
604949.661,5805673.568,5.902557201,604960.7725,5805669.184,5.107270359,604952.6836,5805672.375,5.686216874,0.272028399,333.45946158516614,41.570287280146104,-12.084747060594951,0.7217126939893637,0.2351326501413077,6.050785086226139
604953.5975,5805683.99,6.079834297,604964.749,5805679.497,5.083221899,604956.8189,5805682.692,5.791939028,0.28887348,344.58634760159373,38.11979441418936,-12.767215377514628,0.45916037017552597,0.2908901393740987,6.330039060619255
604956.9777,5805692.937,6.189905016,604968.1338,5805688.274,5.057314142,604960.429,5805691.494,5.839518796,0.309366901,354.10532194254563,34.72955121775739,-13.344852708073267,0.27018670706801007,0.3436301662008464,6.59137220667232
604959.9302,5805700.704,6.283468615,604971.185,5805695.79,5.058265568,604963.5837,5805699.109,5.88574758,0.324618248,362.34178630164877,31.3644633918365,-12.062833042334919,0.3351711125828742,0.3872865303371841,6.84060700978587
604962.9126,5805707.341,6.375717114,604974.0202,5805702.254,5.092818227,604966.3949,5805705.746,5.973521679,0.313505182,369.53355561791983,28.748940159156113,-11.158521141733628,1.0369944858723168,0.3961940124530095,7.079880412768967
604965.565,5805713.253,6.471203794,604976.5056,5805707.919,5.152673514,604969.0421,5805711.558,6.052152606,0.31781689,375.8933892761507,26.142922611500214,-10.119606238904003,0.9799527423419808,0.4179473052239437,7.311602687700786
604968.2279,5805718.475,6.580778443,604978.8076,5805712.838,5.228602708,604971.6476,5805716.653,6.143708494,0.32323457,381.57203492562576,24.0597554148736,-5.352210726358882,1.6810241078393984,0.4349611884708391,7.5378314815707785
604970.8964,5805723.214,6.693373834,604980.9817,5805716.992,5.311958387,604974.2875,5805721.122,6.228880342,0.336244675,386.69779935460565,23.587542705389392,-1.3647437621844964,5.842421222971475,0.4197830514153442,7.752985944937928
604973.5213,5805727.404,6.802467533,604983.2443,5805720.671,5.394633554,604976.9894,5805725.002,6.300310794,0.356688244,391.3773538035119,23.46318353425417,-0.9168492850614335,8.735678994133918,0.4537617673633312,7.951901235854876
