outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,track_width,initial_x,initial_y,initial_z,initial_position
604829.6094439398,5805362.477367127,5.0945895839999995,604838.3064683821,5805359.081091922,5.1101735239999995,9.338514229,604832.3189689106,5805361.419283623,5.0994447,0.311546139
604829.9728144499,5805363.409674289,5.094574323,604838.6709041153,5805360.011433569,5.110723844,9.340221892,604832.6828521439,5805362.350907472,5.0996059780000005,0.311566818
604830.3352186758,5805364.3409492215,5.094776483,604839.0353068716,5805360.942774474,5.111236258,9.342059784,604833.0465153377,5805363.281923856,5.099906016,0.311640537
604830.6986221549,5805365.272257131,5.094973344,604839.3987103696,5805361.874082408,5.111643045,9.342059784,604833.4102218967,5805364.213141739,5.100168866000001,0.311674552
604831.0610263756,5805366.203532068,5.09507306,604839.7631131208,5805362.80542332,5.112298848,9.343897741000001,604833.7738651001,5805365.144157466,5.100443134,0.31174621
604831.4243968752,5805367.135839237,5.095622453,604840.1275488435,5805363.735764976,5.112934517,9.345605384,604834.1377583155,5805366.0757816555,5.1010197999999995,0.31176796
604831.7878003465,5805368.067147153,5.096226736,604840.4919515891,5805364.667105893,5.113373545,9.346524327000001,604834.5015115322,5805367.007101118,5.101572623,0.311771558
604832.1502045593,5805368.998422096,5.096729944,604840.8553550765,5805365.598413838,5.114077315,9.347443287,604834.86513804,5805367.938016265,5.102140174,0.311876085
604832.5136080252,5805369.929730017,5.097414753,604841.2197578172,5805366.529754751,5.114945045,9.348362263,604835.2288912514,5805368.8693357315,5.10288211,0.311880562
604832.8769785144,5805370.862037193,5.09779937,604841.5841605553,5805367.461095673,5.115751996,9.349675556000001,604835.5928744896,5805369.801262998,5.1033990639999995,0.311915057
604833.2393827194,5805371.793312144,5.098428385,604841.9485962649,5805368.391437337,5.116746015,9.351907827,604835.9564476291,5805370.731976322,5.104143038999999,0.31197564
604833.6027861774,5805372.72462007,5.099170773,604842.3119997418,5805369.322745289,5.117563754,9.351907827,604836.3201541672,5805371.663194221,5.104909584,0.312010936
604833.966189633,5805373.655927995,5.099817839,604842.676402472,5805370.254086216,5.118474135,9.352826792,604836.6839273534,5805372.594514359,5.105638923,0.312017139
604834.3285608557,5805374.588202206,5.100692909,604843.0408051994,5805371.185427144,5.119484618,9.355059059,604837.0478105552,5805373.526138228,5.106558139,0.31211799
604834.6919643059,5805375.51951014,5.1016289530000005,604843.4052079244,5805372.116768076,5.1208484069999995,9.355978035,604837.4115737433,5805374.457458043,5.107627811,0.312124262
604835.0553677537,5805376.450818072,5.102192383999999,604843.768644365,5805373.0470767785,5.122183336,9.356372374,604837.7751802452,5805375.388372545,5.108432488,0.312146423
604835.4177389685,5805377.38309229,5.10332257,604844.1330470847,5805373.978417711,5.123389081,9.35860465,604838.1390834244,5805376.319997081,5.109588317,0.312248966
604835.7811424109,5805378.314400227,5.104235883,604844.4974498018,5805374.909758647,5.124765492,9.359523599,604838.502836612,5805377.251316569,5.110646323,0.312253392
604836.1435465949,5805379.245675192,5.1053276830000005,604844.8618525162,5805375.841099586,5.126219675,9.361361546,604838.8664897714,5805378.18233265,5.111852775,0.312325042
604836.506950032,5805380.176983131,5.106636965,604845.2252889464,5805376.771408298,5.127776231,9.361755871,604839.2301162478,5805379.113247823,5.113239792,0.312348935
604836.8703204922,5805381.109290335,5.107824605,604845.5896916556,5805377.702749239,5.129442974,9.363069207999999,604839.5940894646,5805380.045174783,5.11457778,0.312381332
604837.2327246683,5805382.040565304,5.109135942,604845.9540943621,5805378.634090186,5.130989945,9.3649071,604839.9577526086,5805380.976191201,5.1159643180000005,0.312454252
604837.5961280976,5805382.971873252,5.110283265,604846.3184970662,5805379.565431133,5.1325772910000005,9.365826072,604840.3215157758,5805381.907511029,5.11724925,0.312459704
604837.9595315242,5805383.903181201,5.111653421000001,604846.6819005116,5805380.496739104,5.13426851,9.365826071,604840.6852422676,5805382.838729615,5.118720553,0.31249632
604838.321902718,5805384.835455436,5.113002651,604847.0463361847,5805381.427080798,5.1359865,9.368452699999999,604841.0490354074,5805383.770050431,5.12018707,0.312585551
604838.6853061395,5805385.76676339,5.114516128,604847.4107388807,5805382.358421751,5.137494268,9.369371644,604841.4127985669,5805384.701370263,5.121698887,0.312590952
604839.0487095583,5805386.698071346,5.115740827,604847.7751415741,5805383.289762708,5.139026213999999,9.370290604,604841.7765617236,5805385.632690097,5.123019751,0.312596202
604839.4111137185,5805387.629346331,5.117242078,604848.139544265,5805384.221103665,5.140576094,9.372128574,604842.1402248518,5805386.563706531,5.124537913,0.312669509
604839.774484158,5805388.561653543,5.1188455610000005,604848.5029806717,5805385.151412393,5.142265654,9.372917262,604842.504081334,5805387.495229519,5.126169541,0.312722072
604840.1378875687,5805389.492961506,5.120108645,604848.8673833574,5805386.082753354,5.143787371,9.373836193999999,604842.8678477803,5805388.426449433,5.127513636000001,0.31272759699999997
604840.5002917212,5805390.424236497,5.1216138980000006,604849.2317860404,5805387.014094317,5.145018328,9.37567411,604843.2315076032,5805389.357565801,5.128934816,0.312800529
604840.8636621526,5805391.35654372,5.123405442,604849.5961887207,5805387.945435283,5.1462182389999995,9.376987416,604843.5954940813,5805390.289393183,5.1305420669999995,0.312834298
604841.2260662997,5805392.287818712,5.1248523,604849.9595921425,5805388.876743275,5.147403398,9.377906376,604843.9591172261,5805391.220408309,5.1319094000000005,0.312938185
604841.5894697001,5805393.219126684,5.126161482,604850.3240277919,5805389.807084987,5.148760922,9.37921969,604844.3227803388,5805392.151424752,5.133233537,0.312930533
604841.952873098,5805394.150434655,5.1277562230000004,604850.6884304645,5805390.738425957,5.149974679,9.380138645,604844.686533482,5805393.0827442715,5.134709152,0.312934858
604842.3152442629,5805395.082708909,5.129196533,604851.0528331343,5805391.66976693,5.150988172,9.382370916000001,604845.0504266187,5805394.01436852,5.13601812,0.313036905
604842.6786476555,5805396.014016884,5.13037074,604851.4162365458,5805392.60107493,5.151882135,9.382370916000001,604845.4141563738,5805394.9454872,5.137105386,0.313073399
604843.0420510455,5805396.945324863,5.13159895,604851.7806392104,5805393.532415905,5.153076254,9.383289881,604845.7779195018,5805395.876807056,5.138323038999999,0.313078834
604843.4044551769,5805397.87659987,5.132988292,604852.1450748468,5805394.462757632,5.154123976,9.385522149,604846.141479278,5805396.807620034,5.139606685,0.313138356
604843.7678255872,5805398.808907107,5.133997873,604852.5094775062,5805395.39409861,5.154928455,9.386835462,604846.5054857199,5805397.739448097,5.1405528,0.313174619
604844.1312289693,5805399.740215089,5.134819615,604852.8728809071,5805396.325406621,5.155531074,9.386835462,604846.8692121672,5805398.670666714,5.141306676,0.31321121
604844.4936330928,5805400.671490102,5.135647452,604853.2372835613,5805397.256747603,5.156020018,9.388673389,604847.232895244,5805399.601683834,5.142029881,0.313285496
604844.8570364696,5805401.60279809,5.136456978,604853.6017191871,5805398.187089334,5.156648371,9.389986687999999,604847.5965483404,5805400.532699968,5.1427824939999995,0.313277841
604845.2204068694,5805402.535105338,5.137102242,604853.9661218361,5805399.118430325,5.15711938,9.391300016,604847.9605514745,5805401.464627965,5.143373861000001,0.313312459
604845.582810985,5805403.466380358,5.137878571,604854.3295252266,5805400.04973834,5.157309711,9.39221896,604848.3241878779,5805402.395543516,5.1439686380000005,0.313417884
604845.9462143541,5805404.397688347,5.138798022,604854.6939278701,5805400.981079335,5.157555722,9.393137921000001,604848.6879509849,5805403.326863384,5.144677115,0.313422935
604846.3086184647,5805405.328963371,5.1391351489999995,604855.0583305113,5805401.912420328,5.1574174269999995,9.394975891,604849.0516340485,5805404.2578805145,5.144866594,0.313497307
604846.671988854,5805406.261270624,5.139553493,604855.422766124,5805402.842762069,5.15748166,9.39668351,604849.4155271538,5805405.189504784,5.14517432,0.31351934600000003
604847.035392215,5805407.192578623,5.139680879,604855.7861695039,5805403.774070098,5.157465043999999,9.396683511,604849.7792535801,5805406.120723421,5.145257223,0.313556671
604847.3977963176,5805408.123853648,5.140004146,604856.1505721371,5805404.705411099,5.157237211,9.398521426,604850.1429266431,5805407.051740229,5.145408949,0.313629816
604847.761166699,5805409.056160912,5.1400978760000005,604856.5149747679,5805405.636752096,5.156936305,9.399834732999999,604850.5069330565,5805407.983568311,5.145379509,0.313665438
604848.1245700523,5805409.987468916,5.139737796,604856.8794103701,5805406.567093848,5.156549142,9.401148068,604850.870602817,5805408.914685043,5.1450108310000005,0.313659293
604848.4869741469,5805410.91874395,5.1393525,604857.2428137396,5805407.498401882,5.156235965,9.402067007000001,604851.2342292069,5805409.845600285,5.144649906000001,0.313762976
604848.8503774948,5805411.850051962,5.139055107,604857.6072163624,5805408.429742894,5.155959795,9.402985962,604851.5980155756,5805410.776820908,5.144359298,0.313770393
604849.2137478659,5805412.782359227,5.138595528,604857.9716189823,5805409.361083904,5.155136951,9.404299282,604851.9620086881,5805411.708748592,5.1437863010000004,0.31380448
604849.5761519526,5805413.713634271,5.13806576,604858.3360215998,5805410.292424918,5.154257322,9.406137199,604852.3256817356,5805412.6397654135,5.1431479410000005,0.31387838
604849.9395552928,5805414.644942283,5.137772944,604858.6994579333,5805411.222733698,5.15352842,9.406531561,604852.6893181078,5805413.57068099,5.142718642,0.313903404
604850.3029586303,5805415.5762503,5.137189049,604859.0638605455,5805412.154074717,5.152713526,9.407450505,604853.0531011684,5805414.502001543,5.1420623480000005,0.313910692
604850.6653297348,5805416.508524601,5.136664279,604859.4282631552,5805413.085415735,5.151777781,9.409682779,604853.4170042373,5805415.433626165,5.141410119,0.314013277
604851.028733067,5805417.439832627,5.135987308,604859.7926657621,5805414.016756758,5.15077629,9.410601735,604853.7807773,5805416.364946398,5.14063133,0.314019069
604851.3921363965,5805418.371140652,5.135330367,604860.1560691107,5805414.948064806,5.149606793,9.410601734,604854.1445069923,5805417.29606513,5.1398139789999995,0.314057001
604851.7545404676,5805419.3024157025,5.134662489,604860.5205046867,5805415.878406576,5.148832145,9.412834005,604854.5080767008,5805418.226878481,5.139113415,0.314116722
