outer_x,outer_y,outer_z,inner_x,inner_y,inner_z
604829.6094,5805362.477,5.094589584,604838.3065,5805359.081,5.110173524
604837.2078,5805381.977,5.109051064,604845.929,5805378.57,5.13088443
604844.901,5805401.715,5.136541666,604853.6458,5805398.3,5.156721158
604852.6852,5805421.691,5.132406423,604861.4543,5805418.266,5.146402626
604860.5631,5805441.905,5.11713171,604869.3558,5805438.47,5.128379888
604868.5308,5805462.351,5.129032951,604877.3489,5805458.905,5.13157975
604876.5883,5805483.025,5.131510969,604885.4312,5805479.571,5.141330654
604884.7338,5805503.927,5.125573836,604893.614,5805500.474,5.12518935
604892.9698,5805525.061,5.141603812,604901.9664,5805521.579,5.102291271
604901.2195,5805546.455,5.134174013,604910.4113,5805542.917,5.105254641
604909.5312,5805568.096,5.104429212,604918.949,5805564.489,5.111831101
604917.9321,5805589.972,5.09853478,604927.5797,5805586.298,5.10909472
604926.2856,5805611.723,5.097364224,604936.3286,5805607.918,5.125578625
604933.5516,5805630.927,5.160700963,604944.1059,5805626.902,5.131399288
604939.7714,5805647.39,5.37058662,604950.7401,5805643.171,5.129205776
604945.0857,5805661.458,5.646133178,604956.1357,5805657.162,5.11662109
604949.661,5805673.568,5.902557201,604960.7725,5805669.184,5.107270359
604953.5975,5805683.99,6.079834297,604964.749,5805679.497,5.083221899
604956.9777,5805692.937,6.189905016,604968.1338,5805688.274,5.057314142
604959.9302,5805700.704,6.283468615,604971.185,5805695.79,5.058265568
604962.9126,5805707.341,6.375717114,604974.0202,5805702.254,5.092818227
604965.565,5805713.253,6.471203794,604976.5056,5805707.919,5.152673514
604968.2279,5805718.475,6.580778443,604978.8076,5805712.838,5.228602708
604970.8964,5805723.214,6.693373834,604980.9817,5805716.992,5.311958387
604973.5213,5805727.404,6.802467533,604983.2443,5805720.671,5.394633554
604976.2849,5805731.164,6.906393515,604985.5046,5805723.81,5.474126755
604979.3446,5805734.698,7.004158795,604987.8571,5805726.162,5.547138022
604982.6703,5805737.847,7.090236453,604990.1437,5805728.129,5.613681705
604986.2064,5805740.475,7.165979963,604992.5966,5805729.654,5.671753505
604989.9804,5805742.823,7.229407933,604994.7605,5805730.807,5.720602228
604993.816,5805744.532,7.282253819,604997.3111,5805731.903,5.762717976
604997.5699,5805745.771,7.327328636,605000.3174,5805732.859,5.796602228
605001.2685,5805746.713,7.358857278,605003.4182,5805733.568,5.822041574
605005.2098,5805747.176,7.380156641,605006.2415,5805733.817,5.839744761
605009.1219,5805747.311,7.394550812,605009.0766,5805734.001,5.852383586
605012.9592,5805747.193,7.402501903,605011.921,5805733.755,5.857883254
605016.7048,5805746.683,7.402668285,605014.7854,5805733.452,5.861799768
605020.3425,5805745.941,7.399125269,605017.8513,5805733.044,5.861621408
605024.1162,5805744.979,7.396904432,605020.8142,5805732.223,5.858351288
605028.07,5805743.53,7.395026628,605023.3943,5805731.358,5.852421237
605032.2504,5805741.614,7.394577433,605025.5794,5805730.449,5.846178692
605036.0015,5805739.668,7.394390218,605028.3404,5805729.043,5.837800949
605039.4805,5805737.455,7.392210545,605031.1487,5805727.183,5.826749578
605042.6571,5805734.748,7.383366134,605033.7887,5805724.948,5.81263257
605045.8435,5805731.716,7.371927941,605036.1243,5805722.52,5.796412409
605048.8151,5805728.014,7.355540319,605038.054,5805720.04,5.775374048
605051.6314,5805724.064,7.331020405,605039.8078,5805717.372,5.748853727
605053.7942,5805719.948,7.296033127,605041.5293,5805714.259,5.716749842
605055.3909,5805715.544,7.246812669,605043.046,5805710.863,5.677188984
605056.879,5805710.894,7.185313415,605044.2614,5805707.322,5.629635999
605057.7441,5805705.857,7.106409751,605045.1549,5805703.584,5.575254058
605058.0967,5805700.05,7.017696966,605045.5977,5805700.181,5.514267429
605057.812,5805694.715,6.914115759,605045.6986,5805695.922,5.448660312
605056.9471,5805689.472,6.796868798,605044.9863,5805691.257,5.379621606
605055.4557,5805684.204,6.66870204,605044.0179,5805686.287,5.304009176
605053.7756,5805678.634,6.533016459,605042.5433,5805681.333,5.226961227
605051.5051,5805673.044,6.389926851,605040.991,5805676.115,5.146606886
605049.1731,5805667.313,6.244650298,605039.0603,5805670.658,5.066126247
605046.7564,5805661.371,6.102772031,605037.0054,5805664.893,4.988372138
605044.2386,5805655.182,5.960374687,605034.7099,5805658.861,4.916896568
605041.6134,5805648.73,5.811983701,605032.2892,5805652.524,4.856218136
605038.8808,5805642.013,5.643844556,605029.7539,5805645.889,4.80450147
605036.0663,5805635.096,5.460642637,605027.0653,5805638.853,4.752281933
605033.156,5805627.942,5.264959443,605024.2701,5805631.537,4.69816141
605030.1404,5805620.527,5.061857399,605021.3762,5805623.962,4.641557976
605026.3589,5805613.092,4.866170431,605018.3786,5805616.118,4.591884776
605023.3876,5805605.023,4.696394463,605015.3055,5805607.985,4.555007621
605020.3429,5805596.658,4.56050231,605012.2429,5805599.522,4.540110066
605017.4205,5805587.923,4.468324612,605009.0759,5805590.769,4.569657085
605014.4338,5805578.887,4.413726705,605005.9158,5805581.677,4.658051645
605011.4198,5805569.54,4.388523858,605002.8399,5805572.197,4.80281122
605008.3982,5805559.884,4.369603356,604999.6497,5805562.363,4.97863066
605005.5906,5805549.866,4.345123503,604996.7363,5805551.99,5.132286308
605003.2273,5805539.478,4.312155262,604993.7295,5805540.917,5.200071007
605001.5886,5805528.553,4.304857186,604991.6712,5805529.436,5.149610522
605000.8264,5805517.164,4.27835166,604990.7007,5805517.632,4.979657985
605000.6003,5805505.432,4.20779658,604990.5239,5805505.584,4.729096101
605000.7751,5805494.541,4.170527882,604991.0676,5805494.8,4.502704221
605000.983,5805484.719,4.224199299,604991.5512,5805485.174,4.348268321
605001.1777,5805475.46,4.386889349,604991.773,5805476.417,4.28892231
605001.3698,5805466.34,4.672730523,604991.6619,5805468.567,4.34322892
605000.7004,5805457.672,5.051567401,604990.9629,5805460.772,4.496760043
604998.8871,5805449.622,5.467051352,604989.5928,5805453.196,4.719941167
604996.1567,5805441.86,5.858987404,604987.3768,5805446.029,4.982925574
604992.4788,5805434.115,6.165531473,604983.5411,5805440.062,5.248974605
604987.6259,5805427.082,6.359297328,604979.3524,5805434.442,5.492973363
604980.8289,5805421.586,6.447412526,604974.2163,5805429.508,5.699424447
604973.711,5805417.377,6.453446671,604968.0809,5805425.411,5.852329952
604966.0952,5805413.779,6.393188017,604961.508,5805421.852,5.948980188
604958.4175,5805410.644,6.291371746,604954.4678,5805418.628,5.98776886
604950.662,5805407.763,6.179484393,604947.0621,5805415.681,5.981346525
604942.7017,5805404.806,6.072881563,604939.3871,5805412.912,5.952825041
