outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,initial_x,initial_y,initial_z,initial_position
604829.6094,5805362.477,5.094589584,604838.3065,5805359.081,5.110173524,604832.319,5805361.419,5.0994447,0.311546139
604837.2078,5805381.977,5.109051064,604845.929,5805378.57,5.13088443,604839.9327,5805380.912,5.115872922,0.312451047
604844.901,5805401.715,5.136541666,604853.6458,5805398.3,5.156721158,604847.6405,5805400.645,5.142863434,0.31327683
604852.6852,5805421.691,5.132406423,604861.4543,5805418.266,5.146402626,604855.4409,5805420.615,5.136804766,0.314252423
604860.5631,5805441.905,5.11713171,604869.3558,5805438.47,5.128379888,604863.334,5805440.822,5.120676466,0.315140749
604868.5308,5805462.351,5.129032951,604877.3489,5805458.905,5.13157975,604871.3187,5805461.261,5.129838145,0.316159706
604876.5883,5805483.025,5.131510969,604885.4312,5805479.571,5.141330654,604879.3926,5805481.93,5.134625063,0.317127589
604884.7338,5805503.927,5.125573836,604893.614,5805500.474,5.12518935,604887.5411,5805502.836,5.125452293,0.316131851
604892.9698,5805525.061,5.141603812,604901.9664,5805521.579,5.102291271,604895.7469,5805523.987,5.12946855,0.308687803
604901.2195,5805546.455,5.134174013,604910.4113,5805542.917,5.105254641,604904.0053,5805545.383,5.125409369,0.303072195
604909.5312,5805568.096,5.104429212,604918.949,5805564.489,5.111831101,604912.3177,5805567.029,5.106619213,0.295873566
604917.9321,5805589.972,5.09853478,604927.5797,5805586.298,5.10909472,604920.6795,5805588.926,5.101542051,0.284780262
604926.2856,5805611.723,5.097364224,604936.3286,5805607.918,5.125578625,604928.9552,5805610.712,5.104863961,0.265814565
604933.5516,5805630.927,5.160700963,604944.1059,5805626.902,5.131399288,604936.2494,5805629.898,5.153211044,0.255613953
604939.7714,5805647.39,5.37058662,604950.7401,5805643.171,5.129205776,604942.5411,5805646.324,5.309636249,0.252506776
604945.0857,5805661.458,5.646133178,604956.1357,5805657.162,5.11662109,604947.9593,5805660.341,5.508433842,0.26004923
604949.661,5805673.568,5.902557201,604960.7725,5805669.184,5.107270359,604952.6836,5805672.375,5.686216874,0.272028399
604953.5975,5805683.99,6.079834297,604964.749,5805679.497,5.083221899,604956.8189,5805682.692,5.791939028,0.28887348
604956.9777,5805692.937,6.189905016,604968.1338,5805688.274,5.057314142,604960.429,5805691.494,5.839518796,0.309366901
604959.9302,5805700.704,6.283468615,604971.185,5805695.79,5.058265568,604963.5837,5805699.109,5.88574758,0.324618248
604962.9126,5805707.341,6.375717114,604974.0202,5805702.254,5.092818227,604966.3949,5805705.746,5.973521679,0.313505182
604965.565,5805713.253,6.471203794,604976.5056,5805707.919,5.152673514,604969.0421,5805711.558,6.052152606,0.31781689
604968.2279,5805718.475,6.580778443,604978.8076,5805712.838,5.228602708,604971.6476,5805716.653,6.143708494,0.32323457
604970.8964,5805723.214,6.693373834,604980.9817,5805716.992,5.311958387,604974.2875,5805721.122,6.228880342,0.336244675
604973.5213,5805727.404,6.802467533,604983.2443,5805720.671,5.394633554,604976.9894,5805725.002,6.300310794,0.356688244
604976.2849,5805731.164,6.906393515,604985.5046,5805723.81,5.474126755,604979.7855,5805728.372,6.362570958,0.379693713
604979.3446,5805734.698,7.004158795,604987.8571,5805726.162,5.547138022,604982.7196,5805731.314,6.426487467,0.396474447
604982.6703,5805737.847,7.090236453,604990.1437,5805728.129,5.613681705,604985.7594,5805733.83,6.479905167,0.413348471
604986.2064,5805740.475,7.165979963,604992.5966,5805729.654,5.671753505,604988.8835,5805735.942,6.539981086,0.41894513
604989.9804,5805742.823,7.229407933,604994.7605,5805730.807,5.720602228,604992.036,5805737.656,6.580595688,0.430017316
604993.816,5805744.532,7.282253819,604997.3111,5805731.903,5.762717976,604995.3312,5805739.057,6.623473386,0.43354032
604997.5699,5805745.771,7.327328636,605000.3174,5805732.859,5.796602228,604998.7674,5805740.143,6.660188778,0.435832299
605001.2685,5805746.713,7.358857278,605003.4182,5805733.568,5.822041574,605002.2207,5805740.891,6.678181738,0.442913115
605005.2098,5805747.176,7.380156641,605006.2415,5805733.817,5.839744761,605005.662,5805741.321,6.70503388,0.438274094
605009.1219,5805747.311,7.394550812,605009.0766,5805734.001,5.852383586,605009.102,5805741.456,6.716167183,0.439889789
605012.9592,5805747.193,7.402501903,605011.921,5805733.755,5.857883254,605012.5048,5805741.311,6.726326409,0.437762432
605016.7048,5805746.683,7.402668285,605014.7854,5805733.452,5.861799768,605015.8651,5805740.895,6.728605896,0.437456167
605020.3425,5805745.941,7.399125269,605017.8513,5805733.044,5.861621408,605019.2344,5805740.204,6.715162471,0.444852447
605024.1162,5805744.979,7.396904432,605020.8142,5805732.223,5.858351288,605022.6257,5805739.221,6.702412214,0.451393064
605028.07,5805743.53,7.395026628,605023.3943,5805731.358,5.852421237,605025.9338,5805737.969,6.690226588,0.456889381
605032.2504,5805741.614,7.394577433,605025.5794,5805730.449,5.846178692,605029.1603,5805736.442,6.67732812,0.463219865
605036.0015,5805739.668,7.394390218,605028.3404,5805729.043,5.837800949,605032.348,5805734.601,6.652063112,0.47689364
605039.4805,5805737.455,7.392210545,605031.1487,5805727.183,5.826749578,605035.4231,5805732.452,6.629864958,0.486978667
605042.6571,5805734.748,7.383366134,605033.7887,5805724.948,5.81263257,605038.3492,5805729.988,6.620366609,0.485759807
605045.8435,5805731.716,7.371927941,605036.1243,5805722.52,5.796412409,605041.0799,5805727.209,6.599728546,0.490124776
605048.8151,5805728.014,7.355540319,605038.054,5805720.04,5.775374048,605043.5692,5805724.127,6.585225172,0.487490015
605051.6314,5805724.064,7.331020405,605039.8078,5805717.372,5.748853727,605045.7814,5805720.753,6.548196787,0.494779777
605053.7942,5805719.948,7.296033127,605041.5293,5805714.259,5.716749842,605047.6813,5805717.113,6.508902465,0.498409847
605055.3909,5805715.544,7.246812669,605043.046,5805710.863,5.677188984,605049.246,5805713.214,6.465502902,0.497768736
605056.879,5805710.894,7.185313415,605044.2614,5805707.322,5.629635999,605050.4484,5805709.073,6.392456872,0.509653528
605057.7441,5805705.857,7.106409751,605045.1549,5805703.584,5.575254058,605051.2705,5805704.688,6.319056042,0.514221222
