outer_x,outer_y,outer_z,inner_x,inner_y,inner_z
592389.1014,5770733.629,0.0,592392.2642,5770736.051,0.0
592398.6219590387,5770721.500158887,0.0,592401.5693700246,5770723.756870183,0.0
592407.8784745128,5770709.554984814,0.0,592410.8327798531,5770711.816151317,0.0
592417.1425085221,5770697.0900130635,0.0,592420.2953364443,5770699.504084487,0.0
592426.4577734893,5770684.559375431,0.0,592429.5821677129,5770686.951321408,0.0
592436.0520840533,5770671.906858646,0.0,592439.1628964336,5770674.281262958,0.0
592445.6775552183,5770659.309279115,0.0,592448.7161393261,5770661.650185436,0.0
592453.5102702725,5770649.578717017,0.0,592456.1468045131,5770651.874623916,0.0
592461.2916315179,5770641.104249193,0.0,592464.269124747,5770644.400171561,0.0
592472.1422671757,5770632.228958566,0.0,592474.6025584085,5770635.7651049355,0.0
592478.4400110142,5770627.507298838,0.0,592480.2193024575,5770631.238646665,0.0
592481.832723601,5770625.453550091,0.0,592483.035364205,5770629.287570811,0.0
592484.8082440896,5770623.99367841,0.0,592485.5522791023,5770628.558407613,0.0
592488.8713396209,5770624.054245235,0.0,592488.6710951249,5770629.408542111,0.0
592494.5653337905,5770627.030685827,0.0,592492.9103525735,5770631.307286209,0.0
592503.7040486557,5770633.85984995,0.0,592501.24405462,5770637.026649417,0.0
592516.1393102425,5770643.301802093,0.0,592513.7257046871,5770646.457407753,0.0
592528.841231808,5770652.947695449,0.0,592526.4714231532,5770656.064192789,0.0
592541.3460791261,5770662.436491812,0.0,592539.0479211275,5770665.449096601,0.0
592553.8186105032,5770671.844808205,0.0,592551.5883361137,5770674.649956518,0.0
592561.1709740774,5770677.395276165,0.0,592559.4520157923,5770680.267928791,0.0
592563.7295441194,5770679.322571826,0.0,592562.5512387925,5770682.4928817935,0.0
592566.1032388675,5770680.037959822,0.0,592565.7416067709,5770684.370672679,0.0
592568.2995897342,5770679.76065875,0.0,592569.4178675985,5770685.245087035,0.0
592570.0182881735,5770678.907711152,0.0,592573.248939083,5770684.140621171,0.0
592571.8567974536,5770677.489181304,0.0,592576.3415691053,5770681.030660099,0.0
592573.442840375,5770675.2224321375,0.0,592577.545005068,5770676.348013607,0.0
592572.2958982037,5770669.824028043,0.0,592575.5542797018,5770669.169964755,0.0
592567.9084402444,5770655.855329868,0.0,592570.9669956131,5770654.812284512,0.0
592563.0626202066,5770640.57894992,0.0,592566.0565633628,5770639.611266404,0.0
