inner_x,inner_y,inner_z,outer_x,outer_y,outer_z
710595.9469,5592106.671,414.3099976,710583.3391,5592098.786,414.019989
710594.2381,5592109.358,414.3299866,710581.6368,5592101.477,414.1083069
710592.5432,5592112.054,414.3999939,710579.9325,5592104.167,414.1499939
710590.8484,5592114.75,414.4653931,710578.2281,5592106.857,414.1400146
710589.1535,5592117.446,414.5499878,710576.5238,5592109.548,414.2799988
710587.4586,5592120.142,414.5599976,710574.8194,5592112.238,414.3500061
710585.7638,5592122.838,414.6000061,710573.1151,5592114.928,414.3800049
710584.0689,5592125.534,414.6900024,710571.4107,5592117.618,414.4599915
710582.3741,5592128.23,414.730011,710569.7064,5592120.308,414.5400085
710580.6792,5592130.926,414.8200073,710568.002,5592122.998,414.6031799
710578.9844,5592133.622,414.8299866,710566.2977,5592125.688,414.6600037
710577.2895,5592136.318,414.9205627,710564.5933,5592128.378,414.6799927
710575.5947,5592139.014,414.9599915,710562.889,5592131.068,414.7900085
710573.8998,5592141.71,415,710561.1873,5592133.76,414.8599854
710572.205,5592144.406,415.0899963,710559.4925,5592136.456,414.9200134
710570.5101,5592147.102,415.1400146,710557.7977,5592139.152,415
710568.8153,5592149.798,415.1600037,710556.1029,5592141.848,415.0700073
710567.1205,5592152.494,415.2000122,710554.4081,5592144.544,415.0299988
710565.4256,5592155.19,415.2799988,710552.7133,5592147.24,415.1799927
710563.7308,5592157.886,415.3599854,710551.0185,5592149.936,415.2600098
710562.036,5592160.582,415.4299927,710549.3237,5592152.632,415.3099976
710560.3411,5592163.278,415.4500122,710547.6289,5592155.328,415.3577576
710558.6463,5592165.974,415.519989,710545.9341,5592158.024,415.4299927
710556.9515,5592168.67,415.5499878,710544.2393,5592160.72,415.5100098
710555.2566,5592171.366,415.6199951,710542.5445,5592163.416,415.5499878
710553.5618,5592174.061,415.6600037,710540.8497,5592166.112,415.6400146
710551.867,5592176.757,415.7250061,710539.1549,5592168.808,415.6799927
710550.1722,5592179.453,415.769989,710537.4602,5592171.504,415.7461243
710548.4773,5592182.149,415.8299866,710535.7654,5592174.2,415.769989
710546.7825,5592184.845,415.8986511,710534.0706,5592176.896,415.8800049
710545.0877,5592187.541,415.9299927,710532.3758,5592179.592,415.9500122
710543.3929,5592190.237,416.0400085,710530.681,5592182.288,415.9299927
710541.6981,5592192.933,416.0599976,710528.9863,5592184.984,416.0899963
710540.0033,5592195.629,416.2000122,710527.2915,5592187.68,416.1499939
710538.3084,5592198.325,416.2399902,710525.5967,5592190.376,416.2200012
710536.6136,5592201.021,416.25,710523.9019,5592193.072,416.269989
710534.9188,5592203.717,416.3200073,710522.2072,5592195.768,416.3451538
710533.224,5592206.413,416.4100037,710520.5124,5592198.464,416.412384
710531.5292,5592209.109,416.3500061,710518.8176,5592201.16,416.4899902
710529.8344,5592211.805,416.5,710517.1229,5592203.856,416.5599976
710528.1396,5592214.501,416.5700073,710515.4281,5592206.552,416.5299988
710526.4448,5592217.197,416.5299988,710513.7334,5592209.248,416.6700134
710524.75,5592219.893,416.5799866,710512.0386,5592211.944,416.7000122
710523.0552,5592222.589,416.6600037,710510.3438,5592214.64,416.7600098
710521.3604,5592225.285,416.7000122,710508.6491,5592217.336,416.8399963
710519.6656,5592227.981,416.8150024,710506.9551,5592220.032,416.9200134
710517.9708,5592230.677,416.8638,710505.2722,5592222.735,416.980011
710516.2761,5592233.373,416.8399963,710503.5893,5592225.439,417.019989
710514.5813,5592236.069,417,710501.9064,5592228.142,417.1400146
710512.8865,5592238.765,416.9500122,710500.2235,5592230.846,417.1900024
710511.1917,5592241.46,417.1000061,710498.5406,5592233.549,417.2399902
710509.4969,5592244.156,417.0700073,710496.8577,5592236.252,417.3349915
710507.8021,5592246.852,417.1600037,710495.1748,5592238.956,417.3900146
710506.1073,5592249.548,417.2391968,710493.4919,5592241.659,417.4700012
710504.4126,5592252.244,417.3200073,710491.809,5592244.362,417.5
710502.7178,5592254.94,417.3299866,710490.1261,5592247.066,417.5799866
710501.023,5592257.636,417.4200134,710488.4432,5592249.769,417.6799927
710499.3282,5592260.332,417.4049988,710486.7603,5592252.473,417.7099915
710497.6335,5592263.028,417.4100037,710485.0774,5592255.176,417.7900085
710495.9387,5592265.724,417.480011,710483.3945,5592257.879,417.8999939
710494.2439,5592268.42,417.6400146,710481.7116,5592260.583,417.9299927
710492.5492,5592271.116,417.5899963,710480.0288,5592263.286,417.9849854
710490.8564,5592273.809,417.730011,710478.3439,5592265.993,418.0599976
710489.1672,5592276.502,417.7099915,710476.6583,5592268.7,418.1199951
710487.4769,5592279.199,417.8099976,710474.9748,5592271.405,418.2049866
710485.7858,5592281.897,417.8800049,710473.2919,5592274.108,418.2402649
710484.0948,5592284.596,417.980011,710471.609,5592276.812,418.318512
710482.4038,5592287.294,417.9200134,710469.9261,5592279.515,418.4200134
710480.7128,5592289.992,418.0700073,710468.2433,5592282.218,418.4599915
710479.0218,5592292.69,418.1300049,710466.5549,5592284.918,418.5599976
710477.3308,5592295.389,418.2000122,710464.8631,5592287.616,418.5921631
710475.6398,5592298.087,418.25,710463.1713,5592290.314,418.6700134
710473.9488,5592300.785,418.2600098,710461.4796,5592293.012,418.7227783
710472.2578,5592303.483,418.3200073,710459.7878,5592295.709,418.7799988
710470.5668,5592306.182,418.4100037,710458.096,5592298.407,418.8800049
710468.8758,5592308.88,418.4368896,710456.4042,5592301.105,418.9064636
710467.1848,5592311.578,418.4400024,710454.7125,5592303.803,418.9449463
710465.4938,5592314.277,418.5324707,710453.0207,5592306.5,419.0206299
710463.8028,5592316.975,418.6300049,710451.3289,5592309.198,419.0899963
710462.1118,5592319.673,418.6400146,710449.6372,5592311.896,419.1602173
710460.4208,5592322.371,418.7000122,710447.9454,5592314.594,419.2200012
710458.7298,5592325.07,418.8099976,710446.2537,5592317.292,419.3443298
710457.0388,5592327.768,418.8299866,710444.5619,5592319.989,419.4200134
710455.3478,5592330.466,418.8999939,710442.8701,5592322.687,419.5
710453.6569,5592333.164,419.0299988,710441.1784,5592325.385,419.6199951
710451.9659,5592335.863,419.1499939,710439.4866,5592328.083,419.6700134
710450.2749,5592338.561,419.2000122,710437.7949,5592330.78,419.8399963
710448.5839,5592341.259,419.2600098,710436.1031,5592333.478,419.8800049
710446.8929,5592343.957,419.3599854,710434.4114,5592336.176,420.0299988
710445.202,5592346.656,419.5098267,710432.7196,5592338.874,420.1499939
710443.511,5592349.354,419.6499939,710431.0299,5592341.573,420.2550049
710441.82,5592352.052,419.7399902,710429.3467,5592344.276,420.375
710440.129,5592354.75,419.8299866,710427.6635,5592346.979,420.5450134
710438.4381,5592357.449,419.980011,710425.9804,5592349.682,420.6000061
710436.7471,5592360.147,420.0299988,710424.2972,5592352.385,420.7999878
710435.0561,5592362.845,420.144989,710422.614,5592355.088,420.9500122
710433.3652,5592365.543,420.3200073,710420.9309,5592357.791,421.0100098
710431.6742,5592368.241,420.4100037,710419.2477,5592360.495,421.1927185
710429.9833,5592370.94,420.5700073,710417.5645,5592363.198,421.3500061
710428.2923,5592373.638,420.7200012,710415.8814,5592365.901,421.5100098
710426.6013,5592376.336,420.7999878,710414.1982,5592368.604,421.6799927
710424.9104,5592379.034,421,710412.5151,5592371.307,421.7600098
710423.2194,5592381.733,421.0799866,710410.8319,5592374.01,421.9500122
710421.5285,5592384.431,421.1700134,710409.1488,5592376.713,422.1199951
710419.8375,5592387.129,421.3699951,710407.4656,5592379.416,422.1950073
710418.1466,5592389.827,421.4249878,710405.7825,5592382.119,422.3900146
710416.4556,5592392.526,421.5899963,710404.0993,5592384.822,422.5196838
710414.7647,5592395.224,421.6499939,710402.4162,5592387.526,422.6400146
710413.0737,5592397.922,421.7900085,710400.733,5592390.229,422.7999878
710411.3828,5592400.62,421.9599915,710399.0499,5592392.932,422.8800049
710409.6919,5592403.319,422.019989,710397.3668,5592395.635,423.0100098
710408.0009,5592406.017,422.1700134,710395.6836,5592398.338,423.1464539
710406.31,5592408.715,422.25,710394.0005,5592401.041,423.2399902
710404.619,5592411.413,422.4400024,710392.3173,5592403.744,423.3646545
710402.9281,5592414.111,422.4700012,710390.6091,5592406.432,423.5700073
710401.2372,5592416.81,422.6099854,710388.8878,5592409.111,423.6000061
710399.7444,5592419.192,422.7099915,710386.9698,5592412.096,423.7200012
710398.5999,5592421.502,422.730011,710384.912,5592415.3,423.8800049
710397.5954,5592423.913,422.8099976,710382.8264,5592418.546,423.9879761
710396.8946,5592426.146,422.8399963,710380.4673,5592422.218,424.1136475
710396.511,5592427.368,422.818634,710376.8648,5592427.826,424.385498
710396.9359,5592428.516,422.8399963,710374.6231,5592435.148,424.6300049
710397.5709,5592430.21,422.6900024,710375.9341,5592441.326,424.5963135
710398.626,5592431.777,422.6149902,710378.7306,5592446.831,424.5394592
710399.6553,5592433.021,422.6598816,710383.3391,5592451.981,424.4400024
710400.8172,5592433.701,422.6099854,710389.8446,5592455.591,424.375
710402.3384,5592434.298,422.5599976,710396.4188,5592457.079,424.3366699
710404.0506,5592434.532,422.5799866,710402.7949,5592455.879,424.0650024
710405.7609,5592434.526,422.4899902,710408.4567,5592453.391,423.75
710407.6951,5592433.973,422.3900146,710413.0865,5592451.356,423.3699951
710410.2354,5592433.074,422.1950073,710416.6454,5592449.716,423.2099915
710412.996,5592431.93,422.1000061,710419.8006,5592448.255,422.9150085
710415.9423,5592430.709,421.9299927,710422.6969,5592446.914,422.74823
710418.8887,5592429.488,421.7399902,710425.5932,5592445.573,422.6099854
710421.8351,5592428.267,421.5135498,710428.4895,5592444.232,422.3599854
710424.7814,5592427.046,421.3699951,710431.3858,5592442.892,422.2149963
710427.7278,5592425.825,421.1799927,710434.2821,5592441.551,421.9649963
710430.5712,5592424.647,421.0400085,710437.3092,5592440.149,421.7999878
710433.3258,5592423.407,420.8299866,710440.399,5592438.719,421.480011
710436.1627,5592422.078,420.6749878,710443.3585,5592437.348,421.3850098
710439.0505,5592420.725,420.4849854,710446.2524,5592436.009,421.2099915
710441.9383,5592419.372,420.2799988,710449.1463,5592434.669,420.980011
710444.9758,5592417.949,420.1300049,710451.846,5592433.419,420.8299866
710448.1524,5592416.631,419.8500061,710454.446,5592432.215,420.6400146
710451.2064,5592415.446,419.6799927,710457.2454,5592430.919,420.3999939
710454.1799,5592414.292,419.5100098,710460.1451,5592429.576,420.2950134
710457.1534,5592413.138,419.3299866,710463.0449,5592428.234,420.1199951
710460.1269,5592411.985,419.125,710465.9447,5592426.891,419.8099976
710463.1004,5592410.831,418.9400024,710468.8445,5592425.549,419.7200012
710466.0739,5592409.677,418.7900085,710471.7442,5592424.206,419.3999939
710469.0474,5592408.524,418.5799866,710474.644,5592422.864,419.2528076
710472.0209,5592407.37,418.4200134,710477.5438,5592421.521,419.1000061
710474.9944,5592406.216,418.1600037,710480.4436,5592420.179,418.9100037
710477.9679,5592405.063,417.980011,710483.344,5592418.838,418.7099915
710480.9414,5592403.909,417.7999878,710486.2456,5592417.5,418.4757385
710483.9149,5592402.755,417.6199951,710489.1472,5592416.162,418.3299866
710486.8884,5592401.602,417.4400024,710492.0488,5592414.824,418.0899963
710489.8619,5592400.448,417.2099915,710494.9504,5592413.486,417.8800049
710492.8354,5592399.295,417.019989,710497.852,5592412.148,417.730011
710495.8089,5592398.141,416.8450012,710500.7536,5592410.811,417.4700012
710498.6557,5592397.036,416.6799927,710503.7562,5592409.426,417.2799988
710501.4262,5592395.843,416.480011,710506.78,5592408.032,417.0899963
710504.3095,5592394.567,416.2399902,710509.7028,5592406.684,416.9200134
710507.226,5592393.276,416.0599976,710512.5992,5592405.349,416.7000122
710510.1424,5592391.986,415.8900146,710515.4955,5592404.013,416.4899902
710513.0588,5592390.695,415.6600037,710518.3919,5592402.678,416.269989
710515.9752,5592389.405,415.4700012,710521.2883,5592401.342,416.0400085
710518.8916,5592388.114,415.1889038,710524.1847,5592400.007,415.8500061
710521.808,5592386.824,415.0400085,710527.0811,5592398.671,415.6199951
710524.7244,5592385.533,414.8200073,710529.9774,5592397.336,415.3999939
710527.6408,5592384.243,414.5950012,710532.8738,5592396.001,415.2200012
710530.5572,5592382.952,414.4150085,710535.7416,5592394.601,415.0425415
710533.4737,5592381.662,414.2399902,710538.5913,5592393.161,414.8500061
710536.3901,5592380.372,413.9599915,710541.4411,5592391.72,414.6300049
710539.3065,5592379.081,413.769989,710544.2908,5592390.28,414.4100037
710542.1469,5592377.824,413.6499939,710547.188,5592388.815,414.1799927
710544.7374,5592376.608,413.4299927,710550.2164,5592387.285,413.9500122
710547.3166,5592375.183,413.3099976,710553.1997,5592385.777,413.75
710550.1079,5592373.642,413.019989,710556.0476,5592384.338,413.5599976
710552.8991,5592372.101,412.8699951,710558.8954,5592382.898,413.3399963
710555.6904,5592370.56,412.6300049,710561.7433,5592381.459,413.0799866
710558.4816,5592369.018,412.4400024,710564.5911,5592380.019,412.8999939
710561.2729,5592367.477,412.2000122,710567.439,5592378.58,412.7200012
710564.0642,5592365.936,411.9599915,710570.2404,5592377.057,412.519989
710566.8554,5592364.394,411.8299866,710572.9818,5592375.426,412.3250122
710569.6467,5592362.853,411.5799866,710575.7232,5592373.795,412.1350098
710572.438,5592361.312,411.4200134,710578.4646,5592372.164,411.894989
710575.2293,5592359.77,411.2099915,710581.206,5592370.533,411.7000122
710578.0205,5592358.229,411.0100098,710583.9474,5592368.902,411.5299988
710580.8118,5592356.688,410.7900085,710586.6888,5592367.27,411.2999878
710583.6031,5592355.147,410.5499878,710589.4302,5592365.639,411.1799927
710586.3944,5592353.605,410.3800049,710592.1716,5592364.008,410.9400024
710589.1856,5592352.064,410.1650085,710594.913,5592362.377,410.7200012
710591.9769,5592350.523,409.9899902,710597.6544,5592360.746,410.5599976
710594.7682,5592348.981,409.7799988,710600.3958,5592359.115,410.3299866
710597.4833,5592347.482,409.5599976,710603.1789,5592357.459,410.1600037
710599.9284,5592346.056,409.3999939,710606.0868,5592355.729,409.8900146
710602.3365,5592344.406,409.1900024,710608.8404,5592353.845,409.730011
710604.9661,5592342.604,408.980011,710611.4416,5592352.002,409.5299988
710607.5958,5592340.802,408.8599854,710614.0428,5592350.158,409.2900085
710610.2255,5592339,408.6099854,710616.6439,5592348.315,409.1600037
710612.8552,5592337.199,408.4200134,710619.2451,5592346.472,408.8974915
710615.4849,5592335.397,408.2099915,710621.8463,5592344.629,408.6900024
710618.1146,5592333.595,408,710624.4475,5592342.786,408.4899902
710620.7443,5592331.793,407.7799988,710627.0486,5592340.942,408.3099976
710623.374,5592329.991,407.5700073,710629.6498,5592339.099,408.1135254
710626.0036,5592328.189,407.480011,710632.251,5592337.256,407.9500122
710628.6333,5592326.387,407.2799988,710634.7889,5592335.321,407.7950134
710631.263,5592324.586,407.1300049,710637.3181,5592333.373,407.5599976
710633.8927,5592322.784,406.8999939,710639.8472,5592331.425,407.4200134
710636.5224,5592320.982,406.7399902,710642.3764,5592329.478,407.2000122
710639.1521,5592319.18,406.5767517,710644.9056,5592327.53,407.0700073
710641.6072,5592317.498,406.480011,710647.4935,5592325.537,406.875
710643.9065,5592315.721,406.3099976,710650.0953,5592323.533,406.6700134
710646.3386,5592313.768,406.1199951,710652.64,5592321.573,406.4899902
710648.8239,5592311.773,405.9700012,710655.1658,5592319.628,406.3900146
710651.3092,5592309.777,405.7845154,710657.6916,5592317.683,406.2099915
710653.7945,5592307.782,405.5899963,710660.2173,5592315.738,406.0499878
710656.2798,5592305.787,405.4500122,710662.7038,5592313.744,405.8599854
710658.7566,5592303.798,405.2799988,710665.1583,5592311.704,405.6792297
710661.201,5592301.824,405.1099854,710667.6225,5592309.656,405.5400085
710663.6353,5592299.82,404.980011,710670.0833,5592307.611,405.3699951
710666.0961,5592297.795,404.7000122,710672.5344,5592305.574,405.2550049
710668.5568,5592295.769,404.6135864,710674.9854,5592303.537,405.0650024
710671.0175,5592293.744,404.480011,710677.4365,5592301.5,404.9200134
710673.4782,5592291.719,404.3599854,710679.8876,5592299.463,404.7584839
710675.8498,5592289.767,404.1099854,710682.3031,5592297.32,404.6300049
710678.073,5592287.817,404.0599976,710684.6404,5592295.039,404.427124
710680.3206,5592285.721,403.8900146,710686.9472,5592292.787,404.4435425
710682.6509,5592283.547,403.7799988,710689.228,5592290.561,404.2588806
710684.9813,5592281.374,403.5499878,710691.5088,5592288.335,404.019989
710687.3116,5592279.201,403.3699951,710693.7896,5592286.108,403.8500061
710689.6419,5592277.027,403.230011,710696.0703,5592283.882,403.6600037
710691.8722,5592274.947,403.1700134,710698.3769,5592281.631,403.5599976
710693.9365,5592272.874,403.019989,710700.7054,5592279.358,403.3599854
710696.0255,5592270.632,402.9349976,710703.0117,5592277.107,403.2449951
710698.1975,5592268.301,402.7268677,710705.2944,5592274.879,403.0700073
710700.3695,5592265.97,402.6700134,710707.5772,5592272.651,402.9599915
710702.5415,5592263.639,402.413208,710709.86,5592270.423,402.7600098
710704.7135,5592261.309,402.2099915,710712.0987,5592268.154,402.6237183
710706.8855,5592258.978,402.0499878,710714.2636,5592265.816,402.4700012
710709.0576,5592256.647,401.980011,710716.4285,5592263.479,402.2999878
710711.2296,5592254.316,401.75,710718.5935,5592261.142,402.1300049
710713.4016,5592251.986,401.6499939,710720.7584,5592258.804,401.9500122
710715.5736,5592249.655,401.4237671,710722.9233,5592256.467,401.8599854
710717.7456,5592247.324,401.269989,710725.0882,5592254.129,401.6900024
710719.9176,5592244.993,401.1499939,710727.2531,5592251.792,401.4700012
710722.0897,5592242.662,400.9500122,710729.418,5592249.455,401.3299866
710724.2617,5592240.332,400.8399963,710731.583,5592247.117,401.1799927
710726.4337,5592238.001,400.6799927,710733.7479,5592244.78,400.9700012
710728.6057,5592235.67,400.4966431,710735.9128,5592242.443,400.7999878
710730.7778,5592233.339,400.3385315,710738.0777,5592240.105,400.605011
710732.9498,5592231.008,400.1600037,710740.2427,5592237.768,400.5100098
710735.1126,5592228.688,400,710742.4108,5592235.427,400.3500061
710737.2451,5592226.382,399.8758545,710744.571,5592233.064,400.1499939
710739.3666,5592224.049,399.6900024,710746.7267,5592230.703,399.9400024
710741.5096,5592221.691,399.5450134,710748.8749,5592228.351,399.769989
710743.6526,5592219.334,399.4299927,710751.0232,5592225.998,399.6000061
710745.7956,5592216.977,399.1849976,710753.1714,5592223.646,399.5
710747.9386,5592214.619,399.0549927,710755.3197,5592221.293,399.2099915
710750.0816,5592212.262,398.922821,710757.468,5592218.94,399.0586548
710752.2247,5592209.904,398.8009644,710759.6162,5592216.588,398.5759888
710754.3677,5592207.547,398.5950012,710761.7645,5592214.235,398.7200012
710756.512,5592205.188,398.3800049,710763.9123,5592211.883,398.5899963
710758.673,5592202.814,398.25,710766.0547,5592209.537,398.4400024
710760.8471,5592200.454,398.0599976,710768.1976,5592207.19,398.2600098
710763.0059,5592198.111,397.9100037,710770.3459,5592204.837,398.1400146
710765.1647,5592195.768,397.7999878,710772.4942,5592202.485,397.8800049
710767.3235,5592193.425,397.656189,710774.6425,5592200.132,397.7000122
710769.4823,5592191.082,397.4599915,710776.7908,5592197.78,397.5299988
710771.6411,5592188.739,397.3200073,710778.9391,5592195.427,397.3800049
710773.7999,5592186.396,397.1568298,710781.0874,5592193.074,397.2399902
710775.9587,5592184.053,396.980011,710783.2357,5592190.722,397.0700073
710778.1176,5592181.71,396.7900085,710785.3841,5592188.369,396.8900146
710780.2764,5592179.367,396.6600037,710787.5344,5592186.018,396.75
710782.4352,5592177.024,396.5299988,710789.6852,5592183.668,396.5350037
710784.594,5592174.681,396.3099976,710791.8359,5592181.317,396.394989
710786.7528,5592172.338,396.1799927,710793.9867,5592178.967,396.2149963
710788.9116,5592169.995,396,710796.1374,5592176.617,396
710791.0704,5592167.652,395.8500061,710798.2882,5592174.266,395.8900146
710793.2293,5592165.309,395.730011,710800.4389,5592171.916,395.730011
710795.3881,5592162.966,395.5499878,710802.5897,5592169.565,395.5100098
710797.5469,5592160.623,395.4049988,710804.7405,5592167.215,395.4100037
710799.7058,5592158.28,395.2600098,710806.8912,5592164.865,395.230011
710801.8646,5592155.937,395.0950012,710809.042,5592162.514,395.0899963
710804.0234,5592153.594,394.980011,710811.1928,5592160.164,394.9500122
710806.1822,5592151.251,394.8200073,710813.3436,5592157.813,394.8099976
710808.3411,5592148.908,394.6600037,710815.4943,5592155.463,394.5899963
710810.4999,5592146.565,394.5499878,710817.6451,5592153.113,394.4179993
710812.6588,5592144.222,394.3699951,710819.7959,5592150.762,394.2698059
710814.8176,5592141.879,394.230011,710821.9467,5592148.412,394.1000061
710816.9764,5592139.536,394.0700073,710824.0974,5592146.061,393.8900146
710819.1353,5592137.192,393.9400024,710826.2482,5592143.711,393.8200073
710821.294,5592134.85,393.8200073,710828.399,5592141.361,393.6799927
710823.4527,5592132.507,393.7000122,710830.5499,5592139.01,393.5762634
710825.6114,5592130.163,393.5499878,710832.7007,5592136.66,393.4297791
710827.7702,5592127.82,393.4400024,710834.8515,5592134.309,393.2883301
710829.9289,5592125.477,393.269989,710837.0022,5592131.959,393.1600037
