outer_x,outer_y,outer_z,inner_x2,inner_y3,inner_z4
383917.4699,5846610.734,0,383922.1259,5846597.117,0
383919.6802,5846611.176,0,383924.0919,5846597.485,0
383921.65,5846611.522,0,383926.0579,5846597.854,0
383923.6199,5846611.868,0,383928.0238,5846598.222,0
383925.5897,5846612.214,0,383929.9898,5846598.59,0
383927.5596,5846612.56,0,383931.9561,5846598.957,0
383929.5294,5846612.906,0,383933.9266,5846599.299,0
383931.4993,5846613.252,0,383935.8971,5846599.641,0
383933.4704,5846613.59,0,383937.8676,5846599.983,0
383935.4422,5846613.925,0,383939.8381,5846600.325,0
383937.414,5846614.26,0,383941.8086,5846600.668,0
383939.3857,5846614.595,0,383943.7792,5846601.01,0
383941.3575,5846614.93,0,383945.7497,5846601.352,0
383943.3293,5846615.265,0,383947.7202,5846601.694,0
383945.301,5846615.6,0,383949.6907,5846602.036,0
383947.2728,5846615.935,0,383951.6612,5846602.379,0
383949.2446,5846616.27,0,383953.6317,5846602.721,0
383951.2163,5846616.605,0,383955.6023,5846603.063,0
383953.1881,5846616.94,0,383957.5728,5846603.405,0
383955.1598,5846617.275,0,383959.5433,5846603.747,0
383957.1316,5846617.61,0,383961.5139,5846604.09,0
383959.1033,5846617.945,0,383963.4844,5846604.432,0
383961.0751,5846618.28,0,383965.455,5846604.774,0
383963.0468,5846618.615,0,383967.4255,5846605.116,0
383965.0186,5846618.95,0,383969.3961,5846605.458,0
383966.9903,5846619.284,0,383971.3666,5846605.801,0
383968.9621,5846619.619,0,383973.3372,5846606.143,0
383970.9338,5846619.954,0,383975.3078,5846606.485,0
383972.9042,5846620.297,0,383977.2784,5846606.827,0
383974.8713,5846620.659,0,383979.2489,5846607.169,0
383976.8383,5846621.02,0,383981.2195,5846607.512,0
383978.8054,5846621.382,0,383983.1901,5846607.854,0
383980.7724,5846621.744,0,383985.1607,5846608.196,0
383982.7394,5846622.106,0,383987.1314,5846608.538,0
383984.7064,5846622.468,0,383989.102,5846608.881,0
383986.6735,5846622.83,0,383991.0726,5846609.223,0
383988.6405,5846623.192,0,383993.0471,5846609.543,0
383990.6075,5846623.553,0,383995.0224,5846609.859,0
383992.5744,5846623.915,0,383996.9977,5846610.175,0
383994.5414,5846624.277,0,383998.9729,5846610.491,0
383996.5084,5846624.639,0,384000.9482,5846610.807,0
383998.4786,5846624.982,0,384002.9235,5846611.123,0
384000.4492,5846625.323,0,384004.8987,5846611.439,0
384002.4198,5846625.664,0,384006.8741,5846611.755,0
384004.3904,5846626.005,0,384008.8494,5846612.071,0
384006.361,5846626.346,0,384010.8248,5846612.387,0
384008.3315,5846626.687,0,384012.8002,5846612.704,0
384010.3021,5846627.028,0,384014.7756,5846613.02,0
384012.2726,5846627.369,0,384016.7511,5846613.336,0
384014.2431,5846627.71,0,384018.7267,5846613.652,0
384016.2136,5846628.051,0,384020.7023,5846613.968,0
384018.1841,5846628.391,0,384022.6778,5846614.284,0
384020.1545,5846628.732,0,384024.6533,5846614.6,0
384022.125,5846629.073,0,384026.6289,5846614.916,0
384024.0955,5846629.414,0,384028.6045,5846615.232,0
384026.066,5846629.755,0,384030.5801,5846615.548,0
384028.0364,5846630.096,0,384032.5558,5846615.864,0
384030.0069,5846630.437,0,384034.5316,5846616.18,0
384031.9773,5846630.778,0,384036.5114,5846616.473,0
384033.9476,5846631.119,0,384038.4914,5846616.766,0
384035.918,5846631.459,0,384040.4714,5846617.059,0
384037.8883,5846631.8,0,384042.4515,5846617.351,0
384039.8586,5846632.141,0,384044.4317,5846617.644,0
384041.8288,5846632.482,0,384046.412,5846617.937,0
384043.799,5846632.823,0,384048.3925,5846618.23,0
384045.7691,5846633.164,0,384050.3731,5846618.523,0
384047.7391,5846633.505,0,384052.3539,5846618.816,0
384049.7091,5846633.845,0,384054.3345,5846619.109,0
384051.6791,5846634.186,0,384056.3151,5846619.402,0
384053.6492,5846634.527,0,384058.2957,5846619.695,0
384055.6193,5846634.868,0,384060.2765,5846619.988,0
384057.5893,5846635.209,0,384062.2574,5846620.281,0
384059.5592,5846635.549,0,384064.2385,5846620.574,0
384061.5291,5846635.89,0,384066.2197,5846620.867,0
384063.499,5846636.231,0,384068.2011,5846621.16,0
384065.4688,5846636.572,0,384070.1827,5846621.453,0
384067.4384,5846636.913,0,384072.1646,5846621.746,0
384069.408,5846637.253,0,384074.1467,5846622.039,0
384071.3775,5846637.594,0,384076.1292,5846622.332,0
384073.3468,5846637.935,0,384078.1121,5846622.625,0
384075.316,5846638.275,0,384080.0955,5846622.919,0
384077.285,5846638.616,0,384082.0795,5846623.212,0
384079.2538,5846638.957,0,384084.0681,5846623.484,0
384081.2222,5846639.297,0,384086.067,5846623.705,0
384083.1903,5846639.638,0,384088.0672,5846623.926,0
384085.1579,5846639.978,0,384090.068,5846624.147,0
384087.1253,5846640.319,0,384092.0685,5846624.368,0
384089.093,5846640.659,0,384094.0697,5846624.589,0
384091.0605,5846640.999,0,384096.0723,5846624.81,0
384093.0276,5846641.34,0,384098.0766,5846625.032,0
384094.9941,5846641.68,0,384100.083,5846625.254,0
384096.96,5846642.02,0,384102.0923,5846625.476,0
384098.925,5846642.36,0,384104.1056,5846625.698,0
384100.8887,5846642.7,0,384106.0769,5846626.169,0
384102.8507,5846643.039,0,384108.0506,5846626.667,0
384104.8102,5846643.378,0,384110.0358,5846627.167,0
384106.7653,5846643.716,0,384112.0436,5846627.673,0
384108.712,5846644.053,0,384114.1112,5846628.194,0
384110.625,5846644.441,0,384116.5959,5846628.82,0
384112.3754,5846644.823,0,384119.48,5846630.043,0
384113.8405,5846645.398,0,384122.0132,5846631.875,0
384115.2709,5846646.061,0,384124.2983,5846633.527,0
384116.7477,5846646.823,0,384126.5298,5846635.141,0
384118.1471,5846647.735,0,384128.7649,5846636.758,0
384119.5411,5846648.643,0,384131.092,5846638.44,0
384120.8034,5846649.664,0,384132.8111,5846640.728,0
384121.9665,5846650.813,0,384134.347,5846642.904,0
384123.1352,5846652.061,0,384135.7892,5846644.972,0
384124.2698,5846653.417,0,384137.1422,5846646.985,0
384125.3562,5846654.866,0,384138.4706,5846648.961,0
384126.2935,5846656.439,0,384139.825,5846650.976,0
384127.2209,5846657.995,0,384140.8282,5846653.272,0
384128.0212,5846659.582,0,384141.7227,5846655.675,0
384128.7461,5846661.17,0,384142.6386,5846658.135,0
384129.4065,5846662.75,0,384143.5865,5846660.68,0
384129.7447,5846664.393,0,384144.2545,5846663.389,0
384130.0733,5846665.989,0,384144.4337,5846666.107,0
384130.3727,5846667.626,0,384144.6008,5846668.64,0
384130.4513,5846669.369,0,384144.7596,5846671.049,0
384130.5326,5846671.171,0,384144.85,5846673.381,0
384130.4987,5846673.016,0,384144.7756,5846675.653,0
384130.4615,5846674.889,0,384144.7025,5846677.881,0
384130.4237,5846676.786,0,384144.5089,5846680.073,0
384130.2588,5846678.689,0,384144.3044,5846682.31,0
384130.0805,5846680.571,0,384144.0331,5846684.619,0
384129.9052,5846682.421,0,384143.7455,5846686.957,0
384129.5499,5846684.233,0,384143.3143,5846689.283,0
384129.1921,5846686.041,0,384142.751,5846691.587,0
384128.8342,5846687.849,0,384142.0943,5846693.872,0
384128.2612,5846689.599,0,384141.3513,5846696.134,0
384127.6744,5846691.34,0,384140.421,5846698.329,0
384127.0796,5846693.078,0,384139.4908,5846700.523,0
384126.3261,5846694.752,0,384138.4196,5846702.69,0
384125.5793,5846696.41,0,384137.313,5846704.874,0
384124.8362,5846698.061,0,384136.2064,5846707.057,0
384123.9297,5846699.63,0,384134.8404,5846709.068,0
384122.9644,5846701.172,0,384133.468,5846711.049,0
384121.993,5846702.724,0,384132.0036,5846712.939,0
384120.8292,5846704.148,0,384130.4648,5846714.743,0
384119.6329,5846705.55,0,384128.9025,5846716.5,0
384118.4314,5846706.958,0,384127.2909,5846718.186,0
384117.0934,5846708.249,0,384125.6746,5846719.877,0
384115.7597,5846709.537,0,384123.8485,5846721.371,0
384114.4316,5846710.819,0,384122.0101,5846722.814,0
384113.0607,5846712.068,0,384120.2044,5846724.232,0
384111.5909,5846713.226,0,384118.3805,5846725.572,0
384110.1101,5846714.392,0,384116.5354,5846726.836,0
384108.6179,5846715.568,0,384114.7101,5846728.086,0
384106.9673,5846716.533,0,384112.8277,5846729.213,0
384105.2801,5846717.448,0,384110.9173,5846730.257,0
384103.5907,5846718.363,0,384109.023,5846731.293,0
